"Onliner ID";Раздел;Производитель;Товар;Артикул;id-предложения;Цена;Валюта;"Описание предложения";Изготовитель;Импортер;"Сервисный центр";Гарантия;"Срок доставки по Минску";"Срок доставки по РБ";"Только для юр. лиц";"Наличие на складе";"В наличии на складе";"Срок рассрочки по Халве";"Onliner Prime";"Цена по промокоду";"Повышенная рассрочка Minipay";"Кредит на «Родныя тавары»"
4855448;"Беспроводные и портативные колонки";JBL;"PartyBox Encore 2 + 1 Wireless Mic";JBLPBENCORE2EP;4855448001;1465,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"ХАРМАН Интернешнл Индастриес Инцорпоратед. 400 Атлантик стрит, 15-й этаж Стамфорд, ЦТ 06901.";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;1455,00;нет;нет
4902883;"Беспроводные и портативные колонки";JBL;"Partybox Encore Essential 2";JBLPBENCOREESS2AM;4902883001;1199,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"ХАРМАН Интернешнл Индастриес Инцорпоратед. 400 Атлантик стрит, 15-й этаж Стамфорд, ЦТ 06901.";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;1189,00;нет;нет
4661532;"Беспроводные и портативные колонки";Trevi;"XF 3100 KB";"XF 3100 KB";4661532001;1399,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Тревидея С.р.л. улица Консоларе Римини Сан Марино, 62, Италия.";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;1379,00;нет;нет
4661422;"Беспроводные и портативные колонки";Manta;SPK5310PRO;SPK5310PRO;4661422001;699,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Манта С.А. ул. Матушевскую 14 зародыше. С5, 03-876 Варшава, Польша";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;689,00;нет;нет
4855476;"Беспроводные и портативные колонки";Manta;"Pallas SPK0805B140";SPK0805B140;4855476001;699,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Манта С.А. ул. Матушевскую 14 зародыше. С5, 03-876 Варшава, Польша";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;689,00;нет;нет
3976471;"Беспроводные и портативные колонки";Manta;SPK5350;SPK5350;3976471001;799,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Манта С.А. ул. Матушевскую 14 зародыше. С5, 03-876 Варшава, Польша";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;789,00;нет;нет
3976464;"Беспроводные и портативные колонки";Manta;SPK5450;SPK5450;3976464001;1399,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Манта С.А. ул. Матушевскую 14 зародыше. С5, 03-876 Варшава, Польша";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;1389,00;нет;нет
3889829;"Беспроводные и портативные колонки";Samsung;"Sound Tower MX-ST50B";MX-ST50B/RU;3889829001;2299,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка и отличное обслуживание — все для приятных покупок";"Самсунг Электроникс Компани, ЛТД. Мэтан-донг 129, Самсунг-ро, Енгтонг-гу, Сувон, Кенги-до, 443-742, Республика Корея.";"ООО «АйТи Дистрибуция» Минский р-н, Боровлянский с/с, д. Дроздово, 103/3-7, пом. 7-50";"г.Минск ул.Быховская д.35";12;8;9;нет;;нет;;нет;2289,00;нет;нет
3859509;Ноутбуки;Horizont;"H-book 14 МАК4 T32E3W";T32E3W;3859509001;1059,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Холдинг ""Горизонт"". РБ, 220014 г. Минск, пер. С.Ковалевской, 62.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;1;2;нет;in_stock;да;;нет;0,00;нет;нет
4743998;"Мобильные телефоны";HONOR;"X8c ABR-LX1 8GB/128GB международная версия (зеленый)";6936520860401;4743998001;599,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Шэньчжэнь Цо. ЛТД. Китай, Улица Лунхуа Шэньчжэнь, 2-й этаж, офис Промышленная 3 ли Цзиньчэн Технология промышленного Парк-роуд.";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;1;2;нет;in_stock;да;;нет;0,00;нет;нет
4868269;"Блоки питания";Corsair;"RM1000e CP-9020297-EU";CP-9020297-EU;4868269001;629,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Асрок ИНК. 2Ф., Г. № 37, Зд. 2, Йхонгянг С. Ш., Тайбэй, Тайбэй 112, Тайвань (Р. О. Ц.).";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;3;4;нет;in_stock;да;;нет;0,00;нет;нет
4868313;"Блоки питания";Corsair;"HX1500i CP-9020309-EU";CP-9020309-EU;4868313001;1499,00;BYN;"Ваш надежный онлайн-магазин, где вы найдете широкий ассортимент товаров высокого качества по выгодным ценам. Удобное расположение: 300м от метро Ковальская Слобода. Быстрая доставка по Минску и РБ и отличное обслуживание — все для приятных покупок";"Асрок ИНК. 2Ф., Г. № 37, Зд. 2, Йхонгянг С. Ш., Тайбэй, Тайбэй 112, Тайвань (Р. О. Ц.).";"ТрайдексБелПлюс ООО 223016 Минская обл. Минский р-н Новодворский с/с, 33/1-8 к.64 р-н д. Большое Стиклево";"г.Минск, ул. Быховская, д. 35";12;8;9;нет;;нет;;нет;0,00;нет;нет
